id,name,artists,genre,popularity,duration_ms,features,detail
5gQTdwbLvhRHtMcyWxl3y2,Good Riddance (Eurydice Solo),"['Ashley Barrett', 'Darren Korb']",,46.0,,"{'tempo': 152.0, 'key': 0, 'mode': 0, 'key_confidence': 0.36, 'energy': 0.23, 'danceability': 0.48, 'valence': 0.33, 'instrumentalness': 0.8, 'acousticness': 0.98, 'loudness': 0.47, 'segments': {'count': 72, 'average_duration': 0.39}, 'beats': {'count': 72, 'regularity': 0.93}}",
4mn5HdatHKN7iFGDes9G8i,Who's Ready for Tomorrow,"['IBDY', 'RAT BOY']",indie,70.0,116161.0,"{'tempo': 136.0, 'key': 4, 'mode': 0, 'key_confidence': 0.6, 'energy': 0.32, 'danceability': 0.45, 'valence': 0.49, 'instrumentalness': 0.75, 'acousticness': 0.97, 'loudness': 0.25, 'segments': {'count': 66, 'average_duration': 0.44}, 'beats': {'count': 66, 'regularity': 0.92}}",
1t5zysJLU50ZKjPZJLWuAx,ビンクスの酒 - ～ロジャー海賊団ver.～,['ロジャー海賊団'],,57.0,,"{'tempo': 117.45, 'key': 10, 'mode': 0, 'key_confidence': 0.63, 'energy': 0.36, 'danceability': 0.43, 'valence': 0.47, 'instrumentalness': 0.75, 'acousticness': 0.94, 'loudness': 0.15, 'segments': {'count': 58, 'average_duration': 0.51}, 'beats': {'count': 58, 'regularity': 0.87}}",
5ZAblklxQvlqqWK1U9WAck,The Machine,['Low Roar'],,0.0,,"{'tempo': 161.5, 'key': 2, 'mode': 1, 'key_confidence': 0.62, 'energy': 0.27, 'danceability': 0.47, 'valence': 0.68, 'instrumentalness': 0.79, 'acousticness': 0.96, 'loudness': 0.39, 'segments': {'count': 77, 'average_duration': 0.37}, 'beats': {'count': 77, 'regularity': 0.91}}",
1o5CY7N9GP9dVJAwgtRvZn,Boyfriend's Dead - Single Version,['The Jesus and Mary Chain'],indie pop,17.0,103160.0,"{'tempo': 143.55, 'key': 4, 'mode': 1, 'key_confidence': 0.57, 'energy': 0.41, 'danceability': 0.43, 'valence': 0.8, 'instrumentalness': 0.73, 'acousticness': 0.93, 'loudness': 0.06, 'segments': {'count': 68, 'average_duration': 0.42}, 'beats': {'count': 68, 'regularity': 0.9}}",
0tm9m5pv01Toj3nt3LESdZ,Misery Is a Butterfly,['Blonde Redhead'],pop,49.0,307666.0,"{'tempo': 143.55, 'key': 11, 'mode': 1, 'key_confidence': 0.61, 'energy': 0.34, 'danceability': 0.43, 'valence': 0.77, 'instrumentalness': 0.75, 'acousticness': 0.95, 'loudness': 0.25, 'segments': {'count': 70, 'average_duration': 0.42}, 'beats': {'count': 70, 'regularity': 0.96}}",
1ZnXuijpwEBjhNxpEnb8WH,Lorelei,['Cocteau Twins'],synth-pop,59.0,223266.0,"{'tempo': 129.2, 'key': 4, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.35, 'danceability': 0.39, 'valence': 0.79, 'instrumentalness': 0.73, 'acousticness': 0.97, 'loudness': 0.17, 'segments': {'count': 62, 'average_duration': 0.46}, 'beats': {'count': 62, 'regularity': 0.89}}",
0h1HLCVui8He1UNY1FIalm,DAYS,['FLOW'],anime,35.0,253413.0,"{'tempo': 126.05, 'key': 1, 'mode': 0, 'key_confidence': 0.56, 'energy': 0.36, 'danceability': 0.46, 'valence': 0.5, 'instrumentalness': 0.73, 'acousticness': 0.93, 'loudness': 0.21, 'segments': {'count': 61, 'average_duration': 0.48}, 'beats': {'count': 61, 'regularity': 0.94}}",
0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,['Depeche Mode'],dance,78.0,220893.0,"{'tempo': 129.2, 'key': 7, 'mode': 1, 'key_confidence': 0.54, 'energy': 0.33, 'danceability': 0.45, 'valence': 0.8, 'instrumentalness': 0.77, 'acousticness': 0.95, 'loudness': 0.25, 'segments': {'count': 61, 'average_duration': 0.46}, 'beats': {'count': 61, 'regularity': 0.95}}",
3gNwlim5qMcVg7HJelghRc,The Gulag Orkestar,['Beirut'],,0.0,,"{'tempo': 129.2, 'key': 4, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.32, 'danceability': 0.46, 'valence': 0.78, 'instrumentalness': 0.75, 'acousticness': 0.99, 'loudness': 0.2, 'segments': {'count': 62, 'average_duration': 0.46}, 'beats': {'count': 62, 'regularity': 0.87}}",
