genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,49.0,,105.47,0.0,0.0,0.56,0.32,0.42,0.49,0.76,0.94,0.29,50.0,0.57,50.0,0.85,Relax/Chill
,58.0,,132.51,3.0,1.0,0.63,0.3,0.59,0.8,0.78,0.96,0.32,32.0,0.45,32.0,0.94,Happy/Excited
,61.0,,172.27,2.0,1.0,0.57,0.32,0.53,0.81,0.78,0.94,0.31,84.0,0.35,84.0,0.96,Angry/Frustrated
singer-songwriter,63.0,182800.0,152.0,10.0,0.0,0.5,0.32,0.48,0.47,0.75,0.96,0.24,74.0,0.39,74.0,0.91,Happy/Excited
singer-songwriter,61.0,191726.0,107.67,10.0,0.0,0.54,0.31,0.46,0.45,0.76,0.97,0.27,52.0,0.56,52.0,0.92,Happy/Excited
singer-songwriter,57.0,288567.0,89.1,10.0,0.0,0.58,0.34,0.43,0.48,0.74,0.96,0.2,40.0,0.67,40.0,0.86,Relax/Chill
singer-songwriter,46.0,305703.0,136.0,9.0,1.0,0.67,0.36,0.45,0.8,0.75,0.95,0.22,67.0,0.44,67.0,0.91,Happy/Excited
j-pop,54.0,267179.0,112.35,7.0,1.0,0.57,0.31,0.42,0.79,0.77,0.96,0.31,54.0,0.53,54.0,0.87,Happy/Excited
singer-songwriter,60.0,276600.0,136.0,7.0,1.0,0.51,0.34,0.51,0.8,0.75,0.95,0.22,65.0,0.44,65.0,0.93,Tired/Sad
,61.0,,172.27,10.0,0.0,0.52,0.37,0.48,0.51,0.74,0.93,0.21,84.0,0.35,84.0,0.97,Relax/Chill
,61.0,,139.67,6.0,0.0,0.55,0.38,0.52,0.51,0.74,0.92,0.19,65.0,0.43,65.0,0.97,Happy/Excited
,59.0,,152.0,10.0,0.0,0.59,0.34,0.51,0.5,0.75,0.96,0.26,73.0,0.39,73.0,0.97,Happy/Excited
,63.0,,129.2,0.0,0.0,0.62,0.36,0.49,0.5,0.74,0.93,0.22,60.0,0.46,60.0,0.95,Happy/Excited
,61.0,,132.51,10.0,0.0,0.52,0.35,0.49,0.5,0.75,0.94,0.26,66.0,0.45,66.0,0.94,Happy/Excited
,56.0,,114.84,8.0,0.0,0.53,0.35,0.43,0.5,0.75,0.93,0.26,56.0,0.52,56.0,0.91,Happy/Excited
,59.0,,117.45,0.0,0.0,0.59,0.32,0.46,0.49,0.76,0.96,0.29,57.0,0.51,57.0,0.9,Happy/Excited
,55.0,,129.2,9.0,0.0,0.61,0.32,0.56,0.5,0.77,0.95,0.29,34.0,0.46,34.0,0.94,Happy/Excited
,52.0,,107.67,4.0,0.0,0.61,0.35,0.47,0.49,0.74,0.95,0.21,33.0,0.56,33.0,0.92,Happy/Excited
,47.0,,123.05,0.0,1.0,0.5,0.3,0.46,0.73,0.76,0.97,0.3,58.0,0.49,58.0,0.91,Happy/Excited
,52.0,,112.35,0.0,1.0,0.48,0.32,0.4,0.75,0.76,0.96,0.26,50.0,0.53,50.0,0.91,Relax/Chill
,53.0,,97.51,9.0,0.0,0.57,0.33,0.42,0.48,0.77,0.96,0.28,48.0,0.62,48.0,0.89,Relax/Chill
